team,team_name,division,gender,competition,region,conference,id
Kalamazoo,Ultimate Buzz,College,Women,Division III,Great Lakes,Illinois D-III,1544
Wisconsin-La Crosse B,,College,Women,Division I,North Central,Lake Superior DI,1545
Providence,PC ULTY,College,Women,Division III,New England,South New England D-III,1546
Vermont C,,College,Women,Developmental,New England,New England Dev,1547
Harvard B,,College,Women,Developmental,New England,Metro Boston Dev,1548
Missouri State,Missouri State,College,Women,Division I,South Central,Ozarks D-I,1549
Kansas B,,College,Women,Division I,South Central,Ozarks D-I,1550
Georgia Gwinnett,BÄR,College,Men,Division I,Southeast,Southern Appalachian DI,1551
Kennesaw State B,,College,Men,,,,1552
Marcus,,College,Men,,,,1553
California-Santa Cruz B,,College,Men,Developmental,Southwest,Southwest Dev,1554
Stanford B,,College,Men,,,,1555
Messiah College B,,College,Men,,,,1556
Johns Hopkins B,,College,Men,Developmental,Atlantic Coast,Colonial Dev,1557
Maine-Farmington,,College,Men,Division III,New England,North New England D-III,1558
Stevens Tech B,,College,Men,Developmental,Metro East,Metro East Dev,1559
Kansas B,,College,Men,Division I,South Central,Ozarks D-I,1560
Clara Brown,,College,Women,,,,1561
Stockton,Stockton,College,Men,Division I,Metro East,Metro NY DI,1562
Montana B,,College,Men,Division I,Northwest,Big Sky DI,1563
Drury,Drury VooDu,College,Men,Division III,South Central,Northern South Central DIII,1564
Emerson B,,College,Men,,,,1565
North Allegheny,,College,Men,,,,1566
Cleveland State,Burning River Vikings,College,Men,Division I,Ohio Valley,Ohio D-I,1567
Eastern Michigan,Fighting Hellfish,College,Men,Division I,Great Lakes,Eastern Great Lakes D-I,1568
Pennsylvania-Johnstown B,,College,Men,,,,1569
Trinity University,,College,Men,,,,1570
Dallas,UDU,College,Men,Division III,South Central,South Central DIII,1571
Baylor B,,College,Men,Division I,South Central,North Texas DI,1572
Carleton University,,College,Women,,,,1573
Villanova,Villanova,College,Women,Division I,Ohio Valley,East Penn DI,1574
Ferris State,,College,Men,,,,1575
Central Michigan,,College,Women,Division I,Great Lakes,Eastern Great Lakes D-I,1576
New Jersey Institute of Technology,,College,Men,,,,1577
Bates B,,College,Women,,,,1578
Simon Fraser University,,College,Women,,,,1579
Virginia Commonwealth B,,College,Men,Developmental,Atlantic Coast,Virginia Dev,1580
Cutthroat Spring 2020,,College,Men,,,,1581
San Diego State University B,,College,Women,,,,1582
Queens-Kingston,Queen's - Kingston,College,Men,Division I,Metro East,Western NY DI,1583
Stonehil,,College,Women,Division III,New England,Metro Boston DIII,1584
Gannon,Gannon Knights,College,Women,Division III,Ohio Valley,Pennsylvania D-III,1585
Clemson B,,College,Men,Developmental,Atlantic Coast,Carolina Dev,1586
Old Dominion,Monarchs,College,Men,Division I,Atlantic Coast,Virginia D-I,1587
Mars Hill,Passive Fist,College,Men,Division III,Atlantic Coast,Carolina D-III,1588
