team,team_name,division,gender,competition,region,conference,id
Lehigh B,Lehigh-B,College,Men,Division III,Ohio Valley,East Penn DIII,848
Lehigh,Lehigh,College,Men,Division I,Ohio Valley,East Penn DI,849
Ohio State,Leadbelly,College,Men,Division I,Ohio Valley,Ohio DI,850
George Mason B,Laser Sharks,College,Men,Developmental,Atlantic Coast,Southern Atlantic Coast Dev,851
Sacred Heart,Laces,College,Men,Division I,Metro East,Hudson Valley DI,852
Kentucky,KULT,College,Men,Division I,Great Lakes,East Plains DI,853
Coe,Kohucks,College,Men,Division III,North Central,West Plains DIII,854
Kentucky B,Kentucky,College,Men,Division I,Great Lakes,Great Lakes Dev,855
Carleton College Karls,Karls,College,Men,Division III,North Central,Northwoods DIII,856
Georgetown,Justice,College,Men,Division I,Atlantic Coast,Colonial DI,857
Dickinson,Junkyard Turkeys,College,Men,Division III,Ohio Valley,West Penn DIII,858
Chicago,Junk,College,Men,Division I,Great Lakes,Illinois DI,859
Truman State,JujiTSU,College,Men,Division III,South Central,Ozarks DIII,860
Georgia,Jojah,College,Men,Division I,Southeast,Southern Appalachian DI,861
Clemson,Joint Chiefs of Waft,College,Men,Division I,Atlantic Coast,Carolina DI,862
Colgate,Jabberwock,College,Men,Division III,Metro East,Western NY DIII,863
Iowa State,ISUC,College,Men,Division I,North Central,West Plains DI,864
John Brown,Ironfist,College,Men,Division III,South Central,Ozarks DIII,865
East Carolina,Irates,College,Men,Division I,Atlantic Coast,Carolina DI,866
Alabama-Birmingham,Inferno,College,Men,Division I,Southeast,Gulf Coast DI,867
Iowa,IHUC,College,Men,Division I,North Central,West Plains DI,868
Mississippi,HYDRa,College,Men,Division I,Southeast,Gulf Coast DI,869
Northeastern,Huskies,College,Men,Division I,New England,Metro Boston DI,870
Humboldt State,Humboldt State Buds,College,Men,Division I,Southwest,NorCal DI,871
Kansas,Horrorzontals,College,Men,Division I,South Central,Ozarks DI,872
Indiana,HoosierMama's,College,Men,Division I,Great Lakes,East Plains DI,873
Wisconsin,Hodags,College,Men,Division I,North Central,Lake Superior DI,874
High Point,High Point University Bagheera,College,Men,Division III,Atlantic Coast,Carolina DIII,875
Texas Christian,High Noon,College,Men,Division I,South Central,North Texas DI,876
Colorado State B,Hibida,College,Men,Division I,South Central,Rocky Mountain DI,877
Colorado State,Hibida,College,Men,Division I,South Central,Rocky Mountain DI,878
James Madison,Hellfish,College,Men,Division I,Atlantic Coast,Virginia DI,879
Allegheny,Hellbender,College,Men,Division III,Ohio Valley,West Penn DIII,880
Central Florida B,Havoc,College,Men,Developmental,Southeast,Southeast Dev,881
Carnegie Mellon B,Harmful,College,Men,Developmental,Ohio Valley,Ohio Valley Dev,882
New Mexico,Hanta Virus,College,Men,Division I,Southwest,Desert DI,883
Edinboro,Haggis,College,Men,Division I,Ohio Valley,West Penn DI,884
Ave Maria,Gyrenes,College,Men,Division III,Southeast,Eastern Southeast DIII,885
Gonzaga,GURU,College,Men,Division I,Northwest,Big Sky DI,886
Grinnell,Grinnellephants,College,Men,Division III,North Central,West Plains DIII,887
MIT,Grim Beaver,College,Men,Division I,New England,Metro Boston DI,888
Minnesota,Grey Duck,College,Men,Division I,North Central,Northwoods DI,889
SUNY-Buffalo,Green Eggs and Ham,College,Men,Division I,Metro East,Western NY DI,890
Texas B,Graze,College,Men,Division I,South Central,South Texas DI,891
Sonoma State,Grapes of Wrath,College,Men,Division I,Southwest,NorCal DI,892
Goucher,Gophbusters,College,Men,Division III,Atlantic Coast,Northern Atlantic Coast DIII,893
Akron,GoonSquad,College,Men,Division I,Ohio Valley,Ohio DI,894
Carleton College-GoP,Gods of Plastic,College,Men,Division III,North Central,Northwoods DIII,895
Illinois State,Gnomes,College,Men,Division I,Great Lakes,Illinois DI,896
South Carolina,Gamecock Ultimate,College,Men,Division I,Atlantic Coast,Carolina DI,897
George Washington,G-Dub Hippos,College,Men,Division I,Atlantic Coast,Colonial DI,898
George Washington B,G-Dub Bippos,College,Men,Developmental,Atlantic Coast,Colonial Dev,899
Colorado-Denver,Frostbite,College,Men,Division I,South Central,Rocky Mountain DI,900
Stephen F. Austin,Frontier,College,Men,Division I,South Central,North Texas DI,901
Yale B,Friends of Gravity,College,Men,Developmental,Metro East,Metro East Dev,902
Oberlin B,Flying Horsecows,College,Men,Developmental,Ohio Valley,Ohio Valley Dev,903
Oberlin,Flying Horsecows,College,Men,Division III,Ohio Valley,Ohio DIII,904
Hofstra,Flying Dutchmen,College,Men,Division I,Metro East,Metro NY DI,905
Dayton,FLUD,College,Men,Division I,Ohio Valley,Ohio DI,906
Florida Tech,Florida Tech Competitive,College,Men,Division III,Southeast,Eastern Southeast DIII,907
Florida B,Florida B,College,Men,Developmental,Southeast,Southeast Dev,908
Florida,Florida,College,Men,Division I,Southeast,Florida DI,909
Liberty,Flames,College,Men,Division I,Atlantic Coast,Virginia DI,910
Jacksonville State,Firebird,College,Men,Division I,Southeast,Gulf Coast DI,911
Indiana (Pennsylvania),Fighting Squirrels,College,Men,Division I,Ohio Valley,West Penn DI,912
Case Western Reserve,Fighting Gobies[A],College,Men,Division I,Ohio Valley,Ohio DI,913
Case Western Reserve B,Fighting Gobies,College,Men,Developmental,Ohio Valley,Ohio Valley Dev,914
Florida Gulf Coast,FGCU Eagles,College,Men,Division I,Southeast,Florida DI,915
San Diego State,Federales,College,Men,Division I,Southwest,SoCal DI,916
Wisconsin B,Fauxdags,College,Men,Developmental,North Central,North Central Dev,917
Franciscan,Fatal,College,Men,Division III,Ohio Valley,Ohio DIII,918
Messiah,Falcons,College,Men,Division III,Ohio Valley,West Penn DIII,919
Colorado School of Mines B,Entropy - B,College,Men,Division III,South Central,Rocky Mountain DIII,920
Colorado School of Mines,Entropy,College,Men,Division III,South Central,Rocky Mountain DIII,921
Pittsburgh,En Sabah Nur,College,Men,Division I,Ohio Valley,West Penn DI,922
Emory,Emory Juice,College,Men,Division I,Southeast,Southern Appalachian DI,923
Nevada-Reno,Elevation Ultimate,College,Men,Division I,Southwest,NorCal DI,924
Tufts,Elephant Men,College,Men,Division I,New England,Metro Boston DI,925
Northern Arizona,El Ponderoso,College,Men,Division I,Southwest,Desert DI,926
Oregon,Ego,College,Men,Division I,Northwest,Cascadia DI,927
Wisconsin-Eau Claire,EauZone,College,Men,Division I,North Central,Lake Superior DI,928
Swarthmore,Earthworms,College,Men,Division III,Ohio Valley,East Penn DIII,929
Georgia Southern,Eagles,College,Men,Division I,Southeast,Southern Appalachian DI,930
Boston College,Eagles,College,Men,Division I,New England,Metro Boston DI,931
Oklahoma Christian,Eagles,College,Men,Division III,South Central,Ozarks DIII,932
Davidson,DUFF,College,Men,Division III,Atlantic Coast,Carolina DIII,933
Florida State B,DUF Lite,College,Men,Developmental,Southeast,Southeast Dev,934
Florida State,DUF,College,Men,Division I,Southeast,Florida DI,935
Drury University,Drury Ultimate,College,Men,Division III,South Central,,936
Drexel,Dragons,College,Men,Division I,Ohio Valley,East Penn DI,937
Texas A&M B,Dozen Matter,College,Men,Developmental,South Central,South Texas DI,938
Texas A&M,Dozen,College,Men,Division I,South Central,South Texas DI,939
Syracuse,Doom,College,Men,Division I,Metro East,Western NY DI,940
Central Florida,Dogs of War,College,Men,Division I,Southeast,Florida DI,941
Samford,Dogma,College,Men,Division III,Southeast,Western Southeast DIII,942
Georgia College,Disconnected,College,Men,Division III,Southeast,Eastern Southeast DIII,943
Embry-Riddle,Dirty Birds,College,Men,Division III,Southeast,Eastern Southeast DIII,944
Western Washington,DIRT,College,Men,Division I,Northwest,Northwest DI,945
Sam Houston State,Deuce Ultimate,College,Men,Division I,South Central,South Texas DI,946
Occidental,Detox,College,Men,Division III,Southwest,Southwest DIII,947
Denison,Denison Frisbee Ultimate Club,College,Men,Division III,Ohio Valley,Ohio DIII,948
Dayton B,Dayton FLUD B,College,Men,Developmental,Ohio Valley,Ohio Dev,949
California-Davis,Davis Dogs,College,Men,Division I,Southwest,NorCal DI,950
North Carolina,Darkside,College,Men,Division I,Atlantic Coast,Carolina DI,951
Mississippi State,Dark Horse,College,Men,Division I,Southeast,Gulf Coast DI,952
Johns Hopkins,Dangerzone,College,Men,Division I,Atlantic Coast,Colonial DI,953
Carleton College,CUT,College,Men,Division I,North Central,Northwoods DI,955
Colorado B,CUCU,College,Men,Division I,South Central,Rocky Mountain DI,956
Purdue B,CTRL-Z,College,Men,Developmental,Great Lakes,Great Lakes Dev,957
Cal Poly-Pomona,Cow Ultimate,College,Men,Division I,Southwest,SoCal DI,958
Nebraska,Cornfed Ultimate,College,Men,Division I,North Central,West Plains DI,959
Cornell B,Cornell-B (Shake),College,Men,Developmental,Metro East,Metro East Dev,960
Washington University B,Contraband,College,Men,Division I,South Central,Ozarks DI,961
Washington University,Contra,College,Men,Division I,South Central,Ozarks DI,962
Creighton,Colossus,College,Men,Division I,North Central,West Plains DI,963
Colorado-Mesa,Colorado Mesa Space Cows,College,Men,Division I,South Central,Rocky Mountain DI,964
Rice B,Cloud 9,College,Men,Division III,South Central,Texas DIII,965
Rice,Cloud 9,College,Men,Division III,South Central,Texas DIII,966
Princeton B,Clockwork B,College,Men,Developmental,Metro East,Metro East Dev,967
Princeton,Clockwork,College,Men,Division I,Metro East,Metro NY DI,968
Georgia B,Chillydawgs,College,Men,Developmental,Southeast,Southeast Dev,969
Vermont-C,Chill D,College,Men,Developmental,New England,Greater New England Dev,970
Vermont,Chill,College,Men,Division I,New England,Greater New England DI,971
Chico State,Chico State Wildcats,College,Men,Division I,Southwest,NorCal DI,972
Brigham Young B,CHI B,College,Men,Developmental,Northwest,Big Sky DI,973
Brigham Young,CHI,College,Men,Division I,Northwest,Big Sky DI,974
North Carolina-Charlotte,Charlotte Skyrise,College,Men,Division I,Atlantic Coast,Carolina DI,975
Colby,CDC (Men's),College,Men,Division III,New England,North New England DIII,976
North Florida,Category 5,College,Men,Division I,Southeast,Florida DI,977
Ball State,Cardinals,College,Men,Division I,Great Lakes,East Plains DI,978
Campbell,Camels,College,Men,Division III,Atlantic Coast,Carolina DIII,979
California,California-Berkeley,College,Men,Division I,Southwest,NorCal DI,980
Cal Poly-SLO C,Cal Poly SLO C,College,Men,Developmental,Southwest,Southwest Dev,981
Salisbury,Buzz Ultimate A,College,Men,Division I,Atlantic Coast,Colonial DI,982
Butler,Butler Big Dog,College,Men,Division III,Great Lakes,East Plains DIII,983
Virginia Tech,Burn,College,Men,Division I,Atlantic Coast,Virginia DI,984
Cornell,Buds,College,Men,Division I,Metro East,Western NY DI,985
Berry,Bucks,College,Men,Division III,Southeast,Eastern Southeast DIII,986
Texas State,Buckets,College,Men,Division I,South Central,South Texas DI,987
