team_id,team,team_name,division,gender,competition,region,conference
24839,Rutgers B,Mystery Machine,College,Men,Developmental,Metro East,Metro East Dev
23515,Carnegie Mellon,Mr. Yuk,College,Men,Division I,Ohio Valley,West Penn DI
24643,Mary Washington,Mother of George,College,Men,Division III,Atlantic Coast,Northern Atlantic Coast DIII
24848,Missouri State,Missouri State,College,Men,Division I,South Central,Ozarks DI
24263,Missouri,Missouri,College,Men,Division I,South Central,Ozarks DI
24925,Missouri S&T,Miner Threat,College,Men,Division III,South Central,Ozarks DIII
24578,Michigan B,Michigan-B,College,Men,Developmental,Great Lakes,Great Lakes Dev
23452,Miami (Ohio),Miami Boogiemen,College,Men,Division I,Ohio Valley,Ohio DI
23859,William & Mary,Merry Men,College,Men,Division I,Atlantic Coast,Virginia DI
23276,San Jose State,Megabyte,College,Men,Division I,Southwest,NorCal DI
24375,George Mason,Massacre,College,Men,Division I,Atlantic Coast,Virginia DI
23197,Maryland,Maryland Ultimate,College,Men,Division I,Atlantic Coast,Colonial DI
25084,Boise State,Mamu Zaldi,College,Men,Division I,Northwest,Big Sky DI
24953,Colorado,Mamabird,College,Men,Division I,South Central,Rocky Mountain DI
24276,Villanova,Main Line Ultimate,College,Men,Division I,Ohio Valley,East Penn DI
23546,Michigan,MagnUM,College,Men,Division I,Great Lakes,Michigan DI
23190,Luther,LUFDA,College,Men,Division III,North Central,West Plains DIII
24182,Arkansas,Ludicrous Speed,College,Men,Division I,South Central,Ozarks DI
24798,Penn State B,LoveTap,College,Men,Developmental,Ohio Valley,Ohio Valley Dev
23705,Grand Canyon,Lopes,College,Men,Division I,Southwest,Desert DI
24937,Middle Tennessee State,Lightning,College,Men,Division I,Southeast,Gulf Coast DI
24508,Lehigh B,Lehigh-B,College,Men,Division III,Ohio Valley,East Penn DIII
23622,Lehigh,Lehigh,College,Men,Division I,Ohio Valley,East Penn DI
24492,Ohio State,Leadbelly,College,Men,Division I,Ohio Valley,Ohio DI
25079,George Mason B,Laser Sharks,College,Men,Developmental,Atlantic Coast,Southern Atlantic Coast Dev
24957,Sacred Heart,Laces,College,Men,Division I,Metro East,Hudson Valley DI
23549,Kentucky,KULT,College,Men,Division I,Great Lakes,East Plains DI
23144,Coe,Kohucks,College,Men,Division III,North Central,West Plains DIII
23550,Kentucky B,Kentucky,College,Men,Division I,Great Lakes,Great Lakes Dev
24203,Carleton College Karls,Karls,College,Men,Division III,North Central,Northwoods DIII
23559,Georgetown,Justice,College,Men,Division I,Atlantic Coast,Colonial DI
23180,Dickinson,Junkyard Turkeys,College,Men,Division III,Ohio Valley,West Penn DIII
24856,Chicago,Junk,College,Men,Division I,Great Lakes,Illinois DI
25100,Truman State,JujiTSU,College,Men,Division III,South Central,Ozarks DIII
24880,Georgia,Jojah,College,Men,Division I,Southeast,Southern Appalachian DI
24456,Clemson,Joint Chiefs of Waft,College,Men,Division I,Atlantic Coast,Carolina DI
25213,Colgate,Jabberwock,College,Men,Division III,Metro East,Western NY DIII
