team_id,team,team_name,division,gender,competition,region,conference
23112,SUNY-Geneseo,Escargot,College,Women,Division III,Metro East,Western NY DIII
23688,North Texas,Envy,College,Women,Division I,South Central,Texas DI
25101,Colorado School of Mines,Enthalpy,College,Women,Division III,South Central,South Central DIII
24401,Alabama-Birmingham,Ember,College,Women,Division I,Southeast,Gulf Coast DI
24372,Washington,Element,College,Women,Division I,Northwest,Cascadia DI
23307,North Carolina B,Electra,College,Women,Developmental,Atlantic Coast,Atlantic Coast Dev
24157,Brown,Disco Inferno,College,Women,Division I,New England,Greater New England DI
24571,Berry,Discie Chicks,College,Women,Division III,Southeast,Southeast DIII
24048,American,Dirty Ladies,College,Women,Division I,Atlantic Coast,Colonial DI
24049,American B,Dirty Bees,College,Women,Developmental,Atlantic Coast,Atlantic Coast Dev
23236,Oregon State,Dinos,College,Women,Division I,Northwest,Cascadia DI
24033,Florida B,Diesel,College,Women,Developmental,Southeast,Florida DI
24103,SUNY-Albany,Deception,College,Women,Division I,Metro East,Eastern Metro East DI
24538,Dartmouth,Dartmouth Ultimate,College,Women,Division I,New England,Greater New England DI
23458,Pittsburgh,Danger,College,Women,Division I,Ohio Valley,Pennsylvania DI
23480,Mount Holyoke,Daisy Chain,College,Women,Division III,New England,South New England DIII
24422,Sonoma State,D'Vine,College,Women,Division I,Southwest,NorCal DI
24128,William & Mary,Cypress,College,Women,Division I,Atlantic Coast,Virginia DI
24887,Nebraska,Cuddle Raptors,College,Women,Division I,North Central,Western North Central DI
24873,Penn State,Crisis,College,Women,Division I,Ohio Valley,Pennsylvania DI
24297,Tulsa,Coriolis Force,College,Women,Division III,South Central,South Central DIII
24659,Montana State University,Cold Smoke,College,Women,Division I,Northwest,Big Sky DI
23057,Bates,Cold Front,College,Women,Division III,New England,North New England DIII
23260,Princeton,Clockwork,College,Women,Division I,Metro East,Eastern Metro East DI
24362,Puget Sound,Clearcut,College,Women,Division III,Northwest,Northwest DIII
23227,Claremont,Claremont Greenshirts,College,Women,Division III,Southwest,SoCal DI
23140,Chico State,Chico Chicas,College,Women,Division I,Southwest,NorCal DI
23315,Brigham Young,CHI,College,Women,Division I,Northwest,Big Sky DI
23401,Kansas State,Cheshire,College,Women,Division I,South Central,Ozarks DI
23077,Western Washington,Chaos,College,Women,Division I,Northwest,Cascadia DI
23579,Colby,CDC (Women's),College,Women,Division III,New England,North New England DIII
24139,Arizona State,Caliente,College,Women,Division I,Southwest,Desert DI
